Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.999626363186
FDW14,OUT017,1579.6253027776597
NCN55,OUT010,1888.446600913766
FDQ58,OUT017,2609.3137272366275
FDY38,OUT027,5179.228541181565
FDH56,OUT046,1915.7034715959362
FDL48,OUT018,596.7354505402266
FDC48,OUT027,2777.8289439134187
FDN33,OUT045,1510.366287529721
FDA36,OUT017,3079.223224562993
FDT44,OUT017,1997.2632212322856
FDQ56,OUT045,1306.660900970247
NCC54,OUT019,1849.4183804332774
FDU11,OUT049,2045.7043562679282
DRL59,OUT013,888.777463664359
FDM24,OUT049,2558.807389498718
FDI57,OUT045,3088.6609293877664
DRC12,OUT018,2764.9271869836525
NCM42,OUT027,3192.411771677661
FDA46,OUT010,1133.6542605248742
FDA31,OUT013,2798.8125418091417
NCJ31,OUT035,3878.4109985973255
FDG52,OUT046,803.8870760581858
NCL19,OUT019,376.0172497194461
FDS10,OUT035,3027.566267733812
FDX22,OUT010,1448.8065604230833
NCF19,OUT035,915.0755485850159
NCE06,OUT046,2527.742930338446
DRC27,OUT046,3843.227970173738
FDE21,OUT035,2025.286259991513
NCR42,OUT019,-1357.706905838565
FDX51,OUT018,2863.2151448363966
NCR06,OUT018,429.3509394581723
FDU31,OUT027,4940.216761876463
FDU59,OUT017,2712.2801757998004
FDR03,OUT027,4767.686665185394
FDS49,OUT027,2760.725986472521
FDD48,OUT010,-73.36090656101533
NCF18,OUT017,3110.8336405874816
NCD43,OUT027,3099.6340365174283
NCD54,OUT018,1989.8563495209664
FDY19,OUT010,-36.06339587893149
NCY54,OUT017,2810.90805715435
NCL19,OUT018,2023.209367786288
FDP23,OUT010,1533.6166043585113
FDC26,OUT013,1817.967451137198
FDR14,OUT010,-1040.0940098916371
NCS41,OUT035,3035.720702435647
FDF41,OUT035,4041.7847475786057
FDU34,OUT046,2002.5747895507793
DRH11,OUT046,919.7377052008719
FDM03,OUT013,1764.0522299698134
FDS31,OUT017,3048.9414520991113
FDJ20,OUT017,2092.0319993555822
FDV44,OUT027,4494.507284749442
FDG02,OUT049,3102.747648811828
FDA09,OUT013,2910.7236559757966
FDT04,OUT013,690.7840585876099
FDL58,OUT019,2294.2661794057035
FDE52,OUT045,1455.7573488698545
FDW12,OUT035,2503.7110938889814
FDL51,OUT017,3549.1249498970155
NCY42,OUT027,3687.3393298154606
FDR07,OUT017,1658.6860659530862
FDN40,OUT045,2374.408535265022
FDB35,OUT027,2949.765633516446
FDA22,OUT017,2742.240548930583
NCL06,OUT046,4110.96022932283
FDI35,OUT013,2917.4494869347254
NCW42,OUT045,3411.811376974644
NCX06,OUT049,2934.6577965673473
FDC37,OUT027,3192.972882959283
FDZ14,OUT018,1727.6782435077223
DRG49,OUT049,3947.4228777248554
NCG06,OUT045,3959.977523651074
DRC36,OUT045,2721.482650717268
FDV21,OUT019,61.8434554891553
FDB53,OUT046,2359.1871189213284
DRP47,OUT019,2042.039993784017
FDA14,OUT013,2352.954270401313
DRC24,OUT035,2568.014257678104
FDW21,OUT018,1414.2307356969984
NCH29,OUT046,1556.366456715518
FDU58,OUT013,3079.461408311559
FDY27,OUT017,2946.138328911923
FDV56,OUT035,1948.6696161737204
FDT59,OUT046,3656.498698028962
FDB23,OUT046,3621.7863019709753
FDR49,OUT045,698.2293255207429
FDB03,OUT010,1908.5640273229237
FDN39,OUT045,2617.7489636727933
FDX02,OUT027,4985.386547931818
FDQ16,OUT027,3188.6206772988244
FDU35,OUT018,1341.9136361211506
NCT29,OUT013,1957.44022118134
FDZ27,OUT046,830.1602370792867
FDN57,OUT017,2345.9125066000797
FDA03,OUT018,2099.1734614197603
FDZ36,OUT045,2920.1391702358906
NCU05,OUT013,1322.2269737111055
FDT39,OUT018,2179.9642027282193
FDK60,OUT017,1722.7067997392678
FDZ25,OUT017,2857.6772160288947
FDG12,OUT046,2037.0365417758426
DRB01,OUT019,1127.0823415153022
NCC43,OUT027,5377.826340261955
FDX13,OUT019,2035.6506729073435
FDM22,OUT049,1028.1974819986578
FDJ03,OUT027,2306.35926303937
FDU14,OUT018,3678.050702208258
FDB33,OUT010,624.7853673560522
FDP27,OUT046,3005.2855126936765
FDO38,OUT010,-669.6718016595426
FDE28,OUT027,5152.788044275659
FDO27,OUT035,1701.4368266255333
DRL23,OUT027,3166.741731017831
FDS28,OUT046,963.015156476815
FDX24,OUT013,1547.7067224619093
FDZ02,OUT035,1746.6568125826925
FDL46,OUT045,1812.4663270003389
FDS60,OUT027,4294.987836984927
NCO06,OUT017,635.5627003641798
FDO16,OUT035,1527.6967674370367
FDC60,OUT049,1538.2044094468172
FDA48,OUT018,3199.4331643135615
FDZ36,OUT027,4452.523478315362
FDK27,OUT045,1877.2788485667074
FDW23,OUT018,378.3928512197407
FDM14,OUT018,1509.8954537273564
FDM14,OUT013,1787.433724822423
FDW60,OUT018,2603.234033799193
FDE21,OUT013,1909.995318558943
NCM42,OUT035,1881.6465228828752
FDY59,OUT010,-372.48323992424844
DRI49,OUT049,1380.7719378993813
FDT28,OUT019,510.4407340271324
FDQ22,OUT018,408.8303423499482
FDR60,OUT049,1335.1034714189934
FDC50,OUT019,-393.4111438712953
FDV24,OUT013,2457.75673647699
DRF48,OUT010,1026.2896139762343
FDQ47,OUT046,638.5136151047291
DRN36,OUT049,1662.9143151082756
NCY06,OUT035,2173.6394047370663
FDE52,OUT035,1658.904502301667
NCB54,OUT045,1936.7469199699922
NCF31,OUT035,2548.255450535325
FDJ08,OUT027,4448.179903782822
NCC07,OUT017,1786.8726880922948
NCD19,OUT027,2357.666290690918
FDL46,OUT049,2012.146418704995
FDM20,OUT045,3834.1883682189596
NCI06,OUT010,918.4146327274984
DRM11,OUT035,4219.636613283254
NCH07,OUT018,2205.843678272825
FDS23,OUT013,2083.071587146894
FDO49,OUT018,599.2623551661336
FDS35,OUT049,1164.0790274494004
DRK39,OUT045,1276.4686936433209
DRI39,OUT049,1036.6408876656958
FDV04,OUT017,2639.3072133187106
NCN14,OUT035,3008.7396520011034
FDH08,OUT013,3688.279011637657
FDS20,OUT046,2911.0712505568745
FDV40,OUT049,1357.2054694075143
FDZ48,OUT010,-140.38081641831855
FDS24,OUT027,2910.4954089300413
FDK44,OUT049,2861.5291336355735
FDS48,OUT045,2343.025157074019
FDK26,OUT010,1104.7808860482032
FDD23,OUT045,2971.9768193283967
NCH54,OUT017,2636.2963637871817
NCP14,OUT010,-248.75873716526007
FDM60,OUT010,-1182.7515105618886
FDV24,OUT017,2522.517392632406
FDH08,OUT018,3345.345106455226
FDS12,OUT027,3463.2209514351675
FDR39,OUT027,4318.266187086681
FDP12,OUT027,2124.941164949906
DRF60,OUT027,5187.343785772617
FDC09,OUT035,1848.3088412471839
FDF50,OUT018,2887.362955234322
FDG28,OUT035,4054.644916958475
NCE19,OUT017,983.1758168064705
NCM53,OUT010,-199.57541250924646
NCN18,OUT049,1850.1700920286567
FDF32,OUT035,3316.701807217955
FDF11,OUT013,3872.011720141931
DRI59,OUT049,3662.2358108686076
NCG54,OUT035,2811.066783973032
FDM44,OUT046,1636.9541043533986
FDT57,OUT018,3465.2235248491475
FDV24,OUT046,2417.7674175866937
FDI50,OUT019,1769.67798229538
FDS09,OUT035,1033.726310243617
NCC31,OUT027,3895.297017566722
FDQ07,OUT019,1596.8749121587798
FDC22,OUT017,3171.26680066638
FDZ56,OUT046,2695.5655822072936
FDZ40,OUT019,-1001.4129627259885
FDS46,OUT027,3393.252306643613
DRD24,OUT045,2162.2128842149664
FDV45,OUT017,3106.2090956841157
FDL26,OUT045,2418.388893461538
FDA56,OUT018,1706.22004223189
FDN27,OUT046,1918.6301710706612
FDM20,OUT049,3981.5408455069864
FDO16,OUT017,1458.5061132029477
FDL03,OUT035,3302.176664327376
FDE58,OUT046,1910.4939879624685
FDI02,OUT027,3288.0051643178426
NCC55,OUT019,-1234.9709625315938
FDR03,OUT018,3051.789087663481
FDB14,OUT017,1641.0966094567934
FDR45,OUT013,3851.038063224111
NCN07,OUT017,2156.8619605594076
FDM51,OUT019,-182.1254721312589
FDT52,OUT027,5361.346311252989
FDL26,OUT046,2463.1842884097973
NCZ42,OUT046,3763.994706938058
DRI47,OUT019,416.143651077488
FDW40,OUT013,2317.5823188118434
FDN34,OUT046,2741.2158557100174
FDS01,OUT035,2988.222721983585
NCG55,OUT045,1789.8945544249957
FDC11,OUT035,1548.8170241423845
FDX35,OUT018,3341.4261159537364
NCB06,OUT046,2519.300488331635
FDR09,OUT019,2188.8130371626744
FDC53,OUT017,1675.506902436909
FDY45,OUT013,4072.9818133059243
FDA22,OUT010,767.4054960112627
FDE02,OUT035,1671.8870784737128
FDW21,OUT045,1625.658800786171
FDV34,OUT046,1254.331616034967
FDS59,OUT049,1894.0940441326898
NCW17,OUT017,2129.9867075300144
NCK54,OUT046,1925.7426090531371
FDG17,OUT019,2008.8532616356442
FDG35,OUT017,2912.0364129691197
FDD08,OUT010,-1267.521404857561
NCO07,OUT017,3427.5729736931307
FDJ10,OUT010,362.6980371782844
FDW36,OUT017,1779.2240005807516
FDW21,OUT010,-266.6893036460201
FDY19,OUT017,2001.4903138400136
DRE03,OUT013,811.717077416982
NCC55,OUT049,737.2149118856819
FDH52,OUT010,-817.7089413151481
FDO09,OUT017,4312.740125607691
FDU43,OUT045,3764.098658778334
FDX09,OUT010,855.5753466153428
FDH40,OUT019,-521.0125802580817
FDW58,OUT017,1805.439857393545
FDC47,OUT017,3678.609804928782
NCR41,OUT035,1667.8918882904825
DRG49,OUT035,3986.1579915731254
FDC52,OUT027,3936.91000414633
FDY13,OUT046,1223.3167600666538
FDY35,OUT013,820.2630670884917
FDI35,OUT017,2997.773533069183
NCU18,OUT049,2324.0955069935917
FDY33,OUT018,2287.3952569713633
FDC15,OUT027,3932.2227831122955
FDU01,OUT049,3115.053497194142
NCU42,OUT046,2680.6810021058504
NCV29,OUT018,2526.8976966282107
NCY30,OUT017,2985.007190843935
FDQ46,OUT049,1894.8751837405703
FDG58,OUT027,3943.647622559187
