Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560234
FDW14,OUT017,1591.7612740786326
NCN55,OUT010,1822.6726586170037
FDQ58,OUT017,2546.362959157394
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122495
FDL48,OUT018,680.8000272442421
FDC48,OUT027,2806.0427441358897
FDN33,OUT045,1541.2477558067712
FDA36,OUT017,3051.675735541095
FDT44,OUT017,2004.981655103245
FDQ56,OUT045,1358.1533406290982
NCC54,OUT019,1819.708162435647
FDU11,OUT049,2076.750193350651
DRL59,OUT013,963.7365800429795
FDM24,OUT049,2541.5716064996273
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.5903317931256
NCM42,OUT027,3196.322082094339
FDA46,OUT010,1129.0865932092916
FDA31,OUT013,2782.85310162846
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629374
NCL19,OUT019,383.6749739722957
FDS10,OUT035,2986.4040703131786
FDX22,OUT010,1453.2700642602738
NCF19,OUT035,998.5313152811391
NCE06,OUT046,2519.829608866119
DRC27,OUT046,3768.6660667896854
FDE21,OUT035,2044.9750562281504
NCR42,OUT019,-1251.134114547142
FDX51,OUT018,2840.7076836527954
NCR06,OUT018,510.71347688105016
FDU31,OUT027,4872.661618212023
FDU59,OUT017,2684.9378118546247
FDR03,OUT027,4667.8551828367545
FDS49,OUT027,2769.5521447021097
FDD48,OUT010,-11.742853337761517
NCF18,OUT017,3083.50922136491
NCD43,OUT027,3104.4140854002508
NCD54,OUT018,2007.827496987775
FDY19,OUT010,23.568113246545863
NCY54,OUT017,2783.2415589678103
NCL19,OUT018,2023.521417526347
FDP23,OUT010,1509.365342827419
FDC26,OUT013,1848.5794920752433
FDR14,OUT010,-931.0749455928533
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.3364664503206
FDU34,OUT046,2004.5683173135988
DRH11,OUT046,984.1695289641882
FDM03,OUT013,1734.3034064058775
FDS31,OUT017,2964.8933269092495
FDJ20,OUT017,2116.7529678965657
FDV44,OUT027,4427.784808962079
FDG02,OUT049,3080.32827140188
FDA09,OUT013,2877.990100455804
FDT04,OUT013,743.8136889644132
FDL58,OUT019,2224.430519922795
FDE52,OUT045,1472.2979119940546
FDW12,OUT035,2500.3276177547996
FDL51,OUT017,3499.1716317514492
NCY42,OUT027,3669.3541994593015
FDR07,OUT017,1704.386541104934
FDN40,OUT045,2341.9257898901215
FDB35,OUT027,2975.938723178917
FDA22,OUT017,2708.4019276470276
NCL06,OUT046,4020.0931885843806
FDI35,OUT013,2889.3869050858066
NCW42,OUT045,3358.986753706944
NCX06,OUT049,2926.3408466167143
FDC37,OUT027,3208.3154817412405
FDZ14,OUT018,1759.3628553683411
DRG49,OUT049,3880.4720445096295
NCG06,OUT045,3875.8374405200034
DRC36,OUT045,2697.4303484146417
FDV21,OUT019,89.20329367236616
FDB53,OUT046,2335.2836003628104
DRP47,OUT019,1969.3600466199523
FDA14,OUT013,2346.3123118934705
DRC24,OUT035,2559.436840774867
FDW21,OUT018,1431.1415252561837
NCH29,OUT046,1574.1901419858748
FDU58,OUT013,3038.849954510204
FDY27,OUT017,2888.5866735281925
FDV56,OUT035,1978.6353753250967
FDT59,OUT046,3588.219044516925
FDB23,OUT046,3557.5198981563967
FDR49,OUT045,760.3217983798735
FDB03,OUT010,1879.10029184779
FDN39,OUT045,2601.0081164778535
FDX02,OUT027,4893.539499114107
FDQ16,OUT027,3196.576480281021
FDU35,OUT018,1349.3325726460903
NCT29,OUT013,1985.4074128544564
FDZ27,OUT046,871.1855531616695
FDN57,OUT017,2352.0259350435467
FDA03,OUT018,2095.9434563670666
FDZ36,OUT045,2892.9101455455652
NCU05,OUT013,1378.5344023376722
FDT39,OUT018,2199.4632583522475
FDK60,OUT017,1722.7099429732364
FDZ25,OUT017,2809.5987327632392
FDG12,OUT046,1996.2641667968078
DRB01,OUT019,1083.3357803119584
NCC43,OUT027,5257.5615720883225
FDX13,OUT019,1979.8573545982817
FDM22,OUT049,1099.9470861104876
FDJ03,OUT027,2354.42284128843
FDU14,OUT018,3604.6800005478603
FDB33,OUT010,672.5769401362727
FDP27,OUT046,2975.1934067615757
FDO38,OUT010,-582.7923496414345
FDE28,OUT027,5039.563589210016
FDO27,OUT035,1728.2847298513589
DRL23,OUT027,3168.9509894147486
FDS28,OUT046,1027.0683487085075
FDX24,OUT013,1576.8218839850065
FDZ02,OUT035,1784.0734724042356
FDL46,OUT045,1839.2554744810393
FDS60,OUT027,4250.409336238305
NCO06,OUT017,717.6465905641751
FDO16,OUT035,1575.604240547302
FDC60,OUT049,1593.7200437221386
FDA48,OUT018,3143.3858700772057
FDZ36,OUT027,4385.028482398677
FDK27,OUT045,1908.428984261021
FDW23,OUT018,471.6325537035442
FDM14,OUT018,1541.182350809011
FDM14,OUT013,1815.3528147796867
FDW60,OUT018,2582.116252247469
FDE21,OUT013,1937.8367449367731
NCM42,OUT035,1909.6295631404066
FDY59,OUT010,-325.27664244780607
DRI49,OUT049,1411.6164616201534
FDT28,OUT019,537.2071923218483
FDQ22,OUT018,492.451610447324
FDR60,OUT049,1379.3844046079023
FDC50,OUT019,-340.25310825444296
FDV24,OUT013,2420.1696343514545
DRF48,OUT010,1114.8936484944256
FDQ47,OUT046,720.7024107545556
DRN36,OUT049,1683.4037250766812
NCY06,OUT035,2186.54569668034
FDE52,OUT035,1667.710034861254
NCB54,OUT045,1960.273423289846
NCF31,OUT035,2544.246719333175
FDJ08,OUT027,4390.762654347921
NCC07,OUT017,1827.1444492907685
NCD19,OUT027,2337.0849311304028
FDL46,OUT049,2028.7564046335751
FDM20,OUT045,3747.4870288986035
NCI06,OUT010,943.0398761002455
DRM11,OUT035,4122.364533017647
NCH07,OUT018,2216.561537605647
FDS23,OUT013,2100.7278006301876
FDO49,OUT018,669.6110700121153
FDS35,OUT049,1217.221714061268
