Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1624.5116688142618
FDW14,OUT017,1360.3211089567635
NCN55,OUT010,551.6549161783022
FDQ58,OUT017,2427.798105764951
FDY38,OUT027,5508.103640051686
FDH56,OUT046,1922.4078445149385
FDL48,OUT018,716.444193886768
FDC48,OUT027,2425.43205356242
FDN33,OUT045,1544.088719859277
FDA36,OUT017,3175.711736683358
FDT44,OUT017,1866.1280736805154
FDQ56,OUT045,1396.0144142252275
NCC54,OUT019,551.6549161783022
FDU11,OUT049,2031.4276840518942
DRL59,OUT013,895.3881488223051
FDM24,OUT049,2416.510667107845
FDI57,OUT045,2959.58417542131
DRC12,OUT018,3009.0369465095546
NCM42,OUT027,2838.9238952356363
FDA46,OUT010,551.6549161783022
FDA31,OUT013,2841.8068893382456
NCJ31,OUT035,3833.9759077976364
FDG52,OUT046,797.9546482561542
NCL19,OUT019,263.5629925914915
FDS10,OUT035,2997.7620624311626
FDX22,OUT010,551.6549161783022
NCF19,OUT035,716.444193886768
NCE06,OUT046,2463.5570565603953
DRC27,OUT046,3948.9359024772857
FDE21,OUT035,1940.2680590219486
NCR42,OUT019,215.98472443887349
FDX51,OUT018,2991.9766907947737
NCR06,OUT018,640.1159470730901
FDU31,OUT027,5508.103640051686
FDU59,OUT017,2412.459229946071
FDR03,OUT027,5508.103640051686
FDS49,OUT027,2425.43205356242
FDD48,OUT010,263.5629925914915
NCF18,OUT017,2984.0737688162612
NCD43,OUT027,2838.9238952356363
NCD54,OUT018,2072.196791346393
FDY19,OUT010,263.5629925914915
NCY54,OUT017,2801.7163746149363
NCL19,OUT018,2590.5484103587214
FDP23,OUT010,551.6549161783022
FDC26,OUT013,1739.6737606682786
FDR14,OUT010,215.98472443887349
NCS41,OUT035,3080.0500750404476
FDF41,OUT035,3852.890953541412
FDU34,OUT046,2113.4817535934612
DRH11,OUT046,1085.0986584183097
FDM03,OUT013,1661.9849542339616
FDS31,OUT017,3134.0162625694843
FDJ20,OUT017,1991.2182735608662
FDV44,OUT027,5508.103640051686
FDG02,OUT049,3219.32266327948
